G41.900--->G40.901--->0.75
E14.900100--->E10.900--->0.846153846154
P07.101--->P07.300--->0.988395904437
P57.901--->P59.901--->0.866666666667
E74.002--->P59.901--->0.733333333333
B97.400--->J18.000--->0.75
A49.200--->J18.000--->0.838235294118
P77.x00--->P07.300--->0.75
P28.400--->P23.900--->0.814814814815
A37.900--->J18.000--->0.909090909091
P55.100--->P59.901--->0.955607476636
P61.200--->P23.900--->0.740740740741
P39.200--->P07.300--->0.715517241379
H35.100--->P07.300--->0.871559633028
Z38.500--->P07.300--->0.854243542435
P07.200--->P07.300--->1.0
D55.000--->P59.901--->0.8125
Z37.204--->Z38.500--->0.716049382716
P07.000--->P23.900--->0.811827956989
P07.200--->P22.000--->0.883116883117
Z37.204--->P07.300--->0.864197530864
P28.500--->P23.900--->0.911764705882
P61.200--->P22.000--->0.962962962963
P61.200--->P07.300--->0.962962962963
N13.701--->N39.000--->0.952380952381
P28.400--->P07.300--->0.888888888889
P21.900--->P23.900--->0.712643678161
P07.000--->P22.000--->0.811827956989
P22.000--->P23.900--->0.806157354618
P27.100--->P07.300--->0.735772357724
P22.000--->P07.300--->0.965792474344
P07.200--->P23.900--->0.779220779221
P55.900--->P59.901--->0.935483870968
P07.000--->P07.300--->0.991935483871
J39.805--->J18.000--->0.769230769231
P07.200--->P07.300,P22.000--->0.883116883117
P61.200--->P07.300,P23.900--->0.703703703704
P07.200--->P22.000,P23.900--->0.727272727273
P61.200--->P07.300,P22.000--->0.925925925926
P07.000--->P07.300,P23.900--->0.80376344086
P61.200--->P22.000,P23.900--->0.703703703704
P07.200--->P07.300,P23.900--->0.779220779221
P07.000--->P07.300,P22.000--->0.806451612903
P22.000--->P07.300,P23.900--->0.778791334094
P28.400--->P07.300,P23.900--->0.777777777778
P27.100,Z38.500--->P22.000,P23.900--->0.75
P07.000,P36.901--->P07.300,P23.900--->0.821428571429
P27.100,P59.901--->P07.300,P22.000--->0.960784313725
J96.900,P07.000--->P07.300,P22.000--->0.953488372093
P27.100,P59.901--->P07.300,P23.900--->0.882352941176
P07.000,P21.900--->P07.300,P22.000--->0.936507936508
P07.000,Q25.000--->P07.300,P22.000--->0.917647058824
P07.200,P21.900--->P22.000,P23.900--->0.714285714286
J96.900,P07.000--->P07.300,P23.900--->0.93023255814
P07.000,Q25.000--->P22.000,P23.900--->0.811764705882
P07.200,P21.900--->P07.300,P23.900--->0.742857142857
P22.000,Q25.000--->P07.300,P23.900--->0.827751196172
P07.300,P28.500--->P22.000,P23.900--->0.842105263158
P22.000,P28.500--->P07.300,P23.900--->0.941176470588
P27.100,P59.901--->P22.000,P23.900--->0.843137254902
P27.100,P59.901--->P07.300,P61.400--->0.764705882353
P07.000,P59.901--->P07.300,P23.900--->0.708661417323
P21.900,P27.100--->P07.300,P22.000--->0.95652173913
P27.100,P61.400--->P22.000,P23.900--->0.779661016949
P07.101,Q21.101--->P07.300,P23.900--->0.779552715655
J96.900,P07.000--->P22.000,P23.900--->0.883720930233
P07.200,P27.100--->P07.300,P23.900--->0.771428571429
P07.101,Q24.900--->P07.300,P23.900--->0.744680851064
P61.400,Q25.000--->P07.300,P23.900--->0.771653543307
P07.000,P27.100--->P07.300,P22.000--->0.911504424779
I50.906,P07.101--->P07.300,P23.900--->0.821428571429
P07.101,P61.400--->P07.300,P23.900--->0.742718446602
D68.902,P22.000--->P07.300,P23.900--->0.833333333333
P07.000,P36.901--->P07.300,P22.000--->0.785714285714
P07.000,Z38.500--->P07.300,P23.900--->0.768292682927
